Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D3.4mm_W2.1mm_P2.50mm,2,0.01uF,
C3,CP_Radial_D5.0mm_P2.50mm,1,10uF/16V,
"C4, C5",0805,2,0.1uF,
IC2,DIP781W56P254L950H533Q8N,1,MCP6232-E_P,
IC3,DIP794W56P254L2591H533Q20N,1,PIC16F13145-I_P,
J1,PinHeader_1x05_P2.54mm_Horizontal,1,ICSP,
J2,PinSocket_1x02_P2.54mm_Vertical,1,D_Power,
"J4, J7",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J6,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,10K,
"R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,100,
SW1,2MS1T1B4VS2QES,1,2MS1T1B4VS2QES,
VR1,RK09D117000B,1,Attack 10KA,
VR2,RK09D117000B,1,Decay 10KA,
VR3,RK09D117000B,1,Sustain 10KB,
VR4,RK09D117000B,1,Release 10KA,
VR5,RK09D117000B,1,AccLevel 10KB,
