Designator,Mid X,Mid Y,Rotation,Layer
C1,95.253,-65.108,0.0,top
C2,110.894,-65.108,0.0,top
C3,157.099,-60.432,270.0,top
C4,114.554,-61.15,90.0,bottom
C5,103.6,-53.848,0.0,bottom
IC2,103.219,-61.214,0.0,top
IC3,130.429,-61.436,90.0,top
J1,123.952,-76.454,270.0,top
J2,163.2172,-60.518,0.0,top
J4,148.463,-73.152,270.0,top
J5,102.955,-69.889,90.0,top
J6,102.997,-73.533,90.0,top
J7,148.453,-69.342,270.0,top
R1,95.303,-62.441,0.0,top
R2,110.924,-62.441,0.0,top
R3,109.985,-58.554,270.0,top
R4,96.523,-58.631,90.0,top
SW1,157.861,-43.815,0.0,top
VR1,85.389,-44.74625,0.0,top
VR2,103.545,-44.88825,0.0,top
VR3,122.005,-44.91625,0.0,top
VR4,140.674,-44.91625,0.0,top
VR5,85.13,-67.21025,0.0,top
