Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,10uF/16V,
"C10, C11, C2, C6, C7",0805,5,0.1uF,
"C3, C4, C5",C_Disc_D3.4mm_W2.1mm_P2.50mm,3,0.01uF,
"C8, C9",CP_Radial_D5.0mm_P2.50mm,2,1uF/16V,
D1,D_DO-34_SOD68_P2.54mm_Vertical_AnodeUp,1,D,
D2,LED_D5.0mm_FlatTop,1,LED,
IC1,DIP-14_W7.62mm_LongPads,1,PIC16F15325-I_P,
"IC2, IC3",DIP-8_W7.62mm_LongPads,2,MCP6232-E_P,
J1,PinHeader_1x05_P2.54mm_Horizontal,1,ICSP,
J2,PinSocket_1x02_P2.54mm_Vertical,1,D_Power,
J3,PinSocket_1x03_P2.54mm_Vertical,1,Input,
J4,PinSocket_2x06_P2.54mm_Vertical,1,Output,
J5,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
Q1,TO-92_HandSolder,1,Q_NPN_ECB,
"R1, R10, R2, R3, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,5,10K,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,12K,
"R12, R4, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,3,100K,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,1K,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,3.9K,
"R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,100,
U1,DIP-8_W7.62mm_LongPads,1,Opamp_Dual,
VR1,RK09D117000B,1,Rate 10KB,
VR2,RK09D117000B,1,Delay 10KB,
