Designator,Mid X,Mid Y,Rotation,Layer
C1,159.0,-38.75,270.0,top
C10,134.493,-41.91,0.0,bottom
C11,135.128,-55.499,180.0,bottom
C2,148.082,-45.593,180.0,bottom
C3,122.667,-66.304,180.0,top
C4,139.685,-66.177,0.0,top
C5,123.556,-52.588,180.0,top
C6,110.109,-48.26,0.0,bottom
C7,103.886,-62.484,180.0,bottom
C8,97.952,-60.833,0.0,top
C9,115.438,-60.95,180.0,top
D1,95.377,-37.719,0.0,top
D2,90.678,-56.642,0.0,top
IC1,147.94,-56.906,0.0,top
IC2,131.176,-62.24,0.0,top
IC3,131.684,-48.778,0.0,top
J1,140.843,-74.676,270.0,top
J2,166.73,-38.0,90.0,top
J3,148.46,-38.0,270.0,top
J4,108.077,-42.037,90.0,top
J5,107.315,-72.517,90.0,top
Q1,93.091,-44.577,0.0,top
R1,122.794,-63.51,0.0,top
R10,115.027,-55.87,180.0,top
R11,115.127,-53.584,0.0,top
R12,95.554,-40.259,0.0,top
R13,92.202,-50.419,270.0,top
R2,139.812,-63.51,0.0,top
R3,123.733,-50.048,0.0,top
R4,97.728,-65.151,0.0,top
R5,98.49,-55.997,0.0,top
R6,98.39,-53.711,180.0,top
R7,98.49,-51.425,0.0,top
R8,115.127,-51.298,0.0,top
R9,115.889,-65.141,0.0,top
U1,106.807,-55.245,0.0,top
VR1,166.83625,-67.5,90.0,top
VR2,166.83625,-51.5,90.0,top
