Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,4.7uF/16V LowESR,
"C2, C3",CP_Radial_D5.0mm_P2.50mm,2,3.3uF/16V LowESR,
C4,CP_Radial_D5.0mm_P2.50mm,1,2.2uF/25V,
J1,PinSocket_1x03_P2.54mm_Vertical,1,RemoteOnOff,
"J2, J3, J7",PinHeader_1x06_P2.54mm_Vertical,3,A_Power,
"J4, J5, J6",PinSocket_1x02_P2.54mm_Vertical,3,D_Power,
"J8, J9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
PS1,MCW0305D12,1,MCW03-05D12,
"PWC1, PWC2",C_Disc_D5.1mm_W3.2mm_P5.00mm,2,10uF,
PWC3,CP_Radial_D5.0mm_P2.50mm,1,470uF/25V,
"PWF1, PWF2",MFR050,2,MF-R050,
PWIC1,TO254P570X1700X1780-3P,1,BP5293-50,
PWJ1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
"PWJ2, PWJ3, PWJ4, PWJ5",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
PWL1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7uh/0.5A,
PWS1,4MS1R202M6QES,1,4MS1R202M6QES,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,56K,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,40K,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,10K,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,Opamp_Dual,
