Designator,Mid X,Mid Y,Rotation,Layer
C1,87.122,-90.8499,270.0,top
C2,114.9999,-83.504,270.0,top
C3,114.808,-89.767,270.0,top
C4,131.806,-91.398,0.0,top
J1,95.377,-82.0,0.0,top
J2,138.43,-83.185,0.0,top
J3,143.383,-83.185,0.0,top
J4,148.209,-67.691,180.0,top
J5,143.383,-67.691,180.0,top
J6,138.303,-67.691,180.0,top
J7,148.209,-83.185,0.0,top
J8,132.715,-84.159,270.0,top
J9,132.715,-80.222,90.0,top
PS1,101.6,-87.01,90.0,top
PWC1,100.33,-65.913,90.0,top
PWC2,123.176,-63.587,90.0,top
PWC3,128.637,-66.274,90.0,top
PWF1,95.021,-64.506,90.0,top
PWF2,93.853,-91.906,270.0,top
PWIC1,112.0,-66.0,0.0,top
PWJ1,77.166,-70.2575,0.0,top
PWJ2,85.217,-65.659,180.0,top
PWJ3,82.804,-80.899,180.0,top
PWJ4,89.662,-65.659,180.0,top
PWJ5,87.503,-80.904,180.0,top
PWL1,118.35,-69.556,0.0,top
PWS1,73.025,-84.46,270.0,top
R1,120.142,-92.668,180.0,top
R2,125.759,-92.668,180.0,top
R3,126.209,-79.841,0.0,top
R4,121.002,-79.841,0.0,top
U1,122.809,-85.937,0.0,top
