Designator,Mid X,Mid Y,Rotation,Layer
C1,46.798,-98.777,0.0,top
C12,63.047,-70.293,90.0,bottom
C13,93.472,-91.694,0.0,top
C16,75.057,-49.276,180.0,top
C17,57.277,-43.815,180.0,top
C18,57.1285,-50.927,180.0,top
C19,70.6555,-49.403,0.0,top
C2,56.069,-102.46,90.0,top
C42,114.0245,-86.36,0.0,top
C48,89.408,-84.836,0.0,top
C49,139.208,-95.996,180.0,top
C50,129.048,-99.425,90.0,top
C51,130.5935,-104.632,0.0,top
C52,145.812,-109.839,180.0,top
C53,145.812,-107.68,180.0,top
C54,171.3015,-56.896,0.0,top
C55,145.828,-105.394,180.0,top
D1,174.645,-99.044,180.0,top
D2,48.006,-49.911,180.0,top
D3,174.898,-108.315,0.0,top
D4,174.771,-101.457,0.0,top
IC3,55.245,-70.293,0.0,bottom
IC4,93.365,-59.883,0.0,top
IC5,138.406,-103.743,270.0,top
IC6,175.026,-94.549,0.0,top
IC7,166.181,-103.378,270.0,top
J1,104.267,-44.323,270.0,top
J2,75.946,-44.45,270.0,top
J3,87.015,-44.425,90.0,top
J4,160.671,-114.681,90.0,top
J6,128.016,-44.196,90.0,top
J7,67.951,-107.828,90.0,top
Q1,157.142,-96.012,0.0,top
Q3,66.421,-97.747,90.0,top
R10,59.609,-98.523,180.0,top
R100,57.1445,-46.101,0.0,top
R101,122.317,-84.201,0.0,top
R102,118.38,-84.201,0.0,top
R103,57.1445,-48.514,0.0,top
R104,89.249,-89.408,0.0,top
R105,70.55,-51.689,180.0,top
R11,58.736,-95.459,90.0,top
R112,88.408,-60.96,180.0,top
R113,89.265,-87.122,180.0,top
R114,93.488,-87.122,180.0,top
R115,93.472,-84.836,0.0,top
R116,114.046,-99.138,0.0,top
R117,114.046,-96.852,180.0,top
R118,145.812,-99.171,0.0,top
R119,145.812,-101.203,0.0,top
R1190,150.225,-99.187,0.0,top
R12,63.165,-95.475,90.0,top
R120,133.366,-95.996,0.0,top
R121,131.461,-99.425,270.0,top
R125,130.572,-108.966,0.0,top
R1250,130.572,-106.807,0.0,top
R126,130.572,-111.3155,0.0,top
R127,145.828,-103.235,0.0,top
R13,66.61,-94.459,0.0,top
R16,102.997,-97.52,90.0,top
R17,93.472,-89.408,180.0,top
R186,147.168,-51.816,0.0,top
R187,160.02,-51.689,0.0,top
R188,172.847,-51.816,0.0,top
R19,174.279,-105.902,180.0,top
R191,114.046,-84.201,0.0,top
R193,118.38,-60.071,0.0,top
R20,174.247,-103.743,0.0,top
R21,166.259,-95.742,90.0,top
R214,113.665,-60.071,0.0,top
R22,150.765,-94.869,0.0,top
R23,154.051,-95.742,90.0,top
R24,160.798,-96.012,270.0,top
R25,132.309,-51.816,0.0,top
R258,174.895,-90.805,0.0,top
R259,169.688,-95.742,270.0,top
R38,88.948,-55.753,0.0,top
R39,88.916,-53.594,180.0,top
R4,50.735,-102.095,90.0,top
R40,88.932,-51.435,180.0,top
R41,88.919,-49.276,0.0,top
R42,93.139,-49.276,180.0,top
R43,93.171,-51.435,0.0,top
R44,93.171,-53.594,0.0,top
R45,93.171,-55.753,0.0,top
R5,48.068,-102.095,90.0,top
R55,123.444,-60.071,180.0,top
R6,45.909,-102.079,270.0,top
R7,47.052,-96.11,180.0,top
R8,60.768,-95.475,270.0,top
R9,58.609,-101.952,90.0,top
R98,75.073,-51.562,0.0,top
R99,79.121,-49.276,0.0,top
S1,174.01,-73.459,270.0,top
S2,117.027,-71.634,270.0,top
SW1,90.781,-78.859,0.0,top
U1,53.467,-97.028,270.0,top
U7,64.073,-47.371,270.0,top
VR1,90.85,-103.29325,0.0,top
VR2,105.001,-72.503,90.0,top
VR20,108.077,-96.624,0.0,top
VR21,120.396,-88.138,0.0,top
VR27,156.607,-102.108,0.0,top
VR3,132.309,-73.346,90.0,top
VR4,48.328,-72.29,90.0,top
VR5,62.478,-72.29,90.0,top
VR6,161.717,-73.634,90.0,top
VR7,76.897,-72.444,90.0,top
VR8,188.722,-73.687,90.0,top
VR9,147.227,-73.573,90.0,top
