Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C4, C8",0805,4,ECH-U1H221JX5,
C14,0805,1,0.1uF,
"C15, C21, C22",0805,3,CL21B103KBANNNC,
"C3, C5, C6",0805,3,CL21A106KAYNNNE,
"C7, C9",0805,2,CL21B105KBFNNNE,
"IC1, IC2",SOT95P282X145-5N,2,AS321KTR-G1,
IC8,SOIC-20W_7.5x12.8mm_P1.27mm,1,PIC16F13145-I/SO,
J1,PinSocket_1x05_P2.54mm_Vertical,1,DigiInput,
J10,PinHeader_1x02_P2.54mm_Vertical,1,AudioOut,
J3,PinSocket_1x02_P2.54mm_Vertical,1,D_Power,
J4,PinSocket_1x04_P2.54mm_Vertical,1,ConnLeft,
J5,PinHeader_1x05_P2.54mm_Vertical,1,ICSP EG,
J6,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
J8,PinSocket_2x02_P2.54mm_Vertical,1,VCFOut,
Q1,SOT-23,1,SS8050(RANGE:200-350),
"Q4, Q6, Q7, Q8",SOT95P240X120-3N,4,2SA812,
"R1, R2, R3, R31, R32, R50, R52, R57, R66, R70, R74",0805,11,0805W8F1003T5E,
"R106, R111, R122",0805,3,0805W8F1000T5E,
"R109, R110, R29, R30, R46, R51, R54, R56, R60, R63, R67, R68, R71, R75, R78, R79, R80, R84, R93, R94",0805,20,0805W8F1002T5E,
"R14, R15, R18, R26, R58, R59, R72, R73, R87, R88, R89, R90",0805,12,0805W8F5600T5E,
"R27, R28, R91, R92",0805,4,0805W8F6802T5E,
R33,0805,1,0805W8F3302T5E,
R34,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,20K,
R35,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,56K,
R36,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,39K,
R37,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,150K,
R47,0805,1,0805W8F2702T5E,
"R48, R53, R69",0805,3,0805W8F4702T5E,
"R49, R61, R62, R65, R81, R82, R83, R85, R97",0805,9,0805W8F1001T5E,
"R64, R77, R86",0805,3,0805W8F5101T5E,
R76,0805,1,0805W8F2003T5E,
S3,MS2201L6,1,MS2201L6,
"U2, U5, U8",SOIC-16_3.9x9.9mm_P1.27mm,3,LM13700,
"U3, U4, U6",SOIC-8_3.9x4.9mm_P1.27mm,3,TL072CDT,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6232-E_P,
VR10,3362P_1,1,3362P-1-503LF,
VR11,PTA20432010CIB104,1,Mod 100KA,
VR12,PTA20432010CIB104,1,KYBD 100KB,
VR13,PTA20432010CIB104,1,Env 100KB,
VR14,RK09D117000B,1,Volume 100KA,
VR15,PTA20432010CIB104,1,Freq 100KB,
"VR16, VR17",3362P_1,2,3362P-1-103LF,
VR18,PTA20432010CIB104,1,Resonance 100KB,
VR19,3362P_1,1,3362P-1-104LF,
VR22,RK09D117000B,1,AccLevel 10KB,
VR23,PTA20432010CIB104,1,Attack 100KA,
VR24,PTA20432010CIB104,1,Decay 100KA,
VR25,PTA20432010CIB104,1,Sustain 100KB,
VR26,PTA20432010CIB104,1,Release 100KA,
