Designator,Mid X,Mid Y,Rotation,Layer
C10,198.775,-108.25,180.0,top
C11,175.042,-105.964,180.0,top
C14,319.06,-77.3325,90.0,bottom
C15,317.5305,-57.958,0.0,top
C21,296.819,-57.45,180.0,top
C22,309.0325,-57.704,0.0,top
C3,188.3985,-98.852,0.0,top
C4,188.3985,-107.488,0.0,top
C5,237.8885,-99.868,0.0,top
C6,237.867,-102.027,0.0,top
C7,256.286,-112.522,180.0,top
C8,211.0725,-107.869,0.0,top
C9,265.0635,-114.981,0.0,top
IC1,260.366,-88.692,0.0,top
IC2,261.021,-111.806,0.0,top
IC8,310.043,-77.819,0.0,bottom
J1,287.995,-48.535,90.0,top
J10,319.06,-111.806,90.0,top
J3,300.03,-48.433,90.0,top
J4,256.286,-48.895,90.0,top
J5,310.815,-48.42,270.0,top
J6,226.604,-48.306,90.0,top
J8,186.218,-117.775,270.0,top
Q1,264.541,-95.4255,270.0,top
Q2,240.35,-57.08,180.0,top
Q3,260.039,-95.377,270.0,top
Q4,274.513,-53.918,0.0,top
Q5,209.931,-48.063,0.0,top
R1,192.695,-111.806,180.0,top
R106,317.568,-55.672,180.0,top
R109,296.803,-55.164,0.0,top
R110,309.027,-55.418,180.0,top
R111,296.803,-53.005,180.0,top
R122,309.027,-53.132,0.0,top
R14,188.361,-105.329,180.0,top
R15,211.0725,-105.456,180.0,top
R18,188.377,-103.297,180.0,top
R2,188.393,-101.138,180.0,top
R26,211.0725,-103.297,180.0,top
R27,188.504,-109.774,180.0,top
R28,211.0885,-111.379,180.0,top
R29,175.0795,-112.441,180.0,top
R3,211.0725,-100.63,180.0,top
R30,206.2465,-111.933,0.0,top
R31,198.7695,-101.011,180.0,top
R32,188.5095,-111.933,180.0,top
R33,240.411,-52.959,0.0,top
R34,189.52,-57.45,0.0,top
R35,219.492,-57.831,0.0,top
R36,231.938,-57.831,0.0,top
R37,231.938,-53.513,0.0,top
R46,255.905,-88.615,270.0,top
R47,263.815,-88.676,270.0,top
R48,269.149,-100.995,90.0,top
R49,255.524,-93.726,90.0,top
R50,262.906,-91.948,0.0,top
R51,255.524,-98.552,90.0,top
R52,259.005,-60.625,0.0,top
R53,241.82,-99.868,180.0,top
R54,241.804,-102.027,180.0,top
R56,248.832,-108.25,0.0,top
R57,258.953,-57.568,90.0,top
R58,248.832,-112.441,180.0,top
R59,248.832,-110.282,180.0,top
R60,258.953,-53.467,90.0,top
R61,270.927,-53.742,270.0,top
R62,270.927,-57.552,90.0,top
R63,248.832,-114.6,180.0,top
R64,243.895,-116.759,0.0,top
R65,273.828,-58.166,0.0,top
R66,256.286,-110.49,0.0,top
R67,256.286,-116.84,0.0,top
R68,279.019,-52.959,0.0,top
R69,260.751,-114.981,180.0,top
R70,265.228,-112.568,180.0,top
R71,236.783,-105.964,0.0,top
R72,236.783,-110.282,0.0,top
R73,236.783,-108.123,0.0,top
R74,195.58,-54.61,0.0,top
R75,236.783,-112.568,0.0,top
R76,195.58,-51.943,180.0,top
R77,236.656,-114.727,0.0,top
R78,202.347,-57.831,0.0,top
R79,219.1285,-112.662,90.0,top
R80,229.4155,-113.186,90.0,top
R81,208.173,-54.402,180.0,top
R82,208.205,-56.434,180.0,top
R83,208.189,-52.243,0.0,top
R84,219.1285,-108.725,90.0,top
R85,229.4155,-109.265,270.0,top
R86,214.36,-48.133,0.0,top
R87,198.7375,-105.71,0.0,top
R88,175.0635,-103.551,0.0,top
R89,198.7695,-103.17,0.0,top
R90,175.0795,-101.519,0.0,top
R91,198.7375,-110.409,180.0,top
R92,175.0635,-108.25,0.0,top
R93,198.7535,-112.568,180.0,top
R94,175.0795,-110.409,180.0,top
R97,317.536,-53.386,180.0,top
S3,260.164,-76.346,270.0,top
U2,181.7295,-105.329,270.0,top
U3,265.212,-55.291,270.0,top
U4,202.282,-53.767,270.0,top
U5,204.8445,-105.046,270.0,top
U6,224.2085,-111.027,270.0,top
U8,242.544,-110.155,270.0,top
U9,302.915,-54.91,270.0,top
VR10,246.289,-54.021,0.0,top
VR11,233.834,-78.475,90.0,top
VR12,247.94,-78.532,90.0,top
VR13,219.365,-78.532,90.0,top
VR14,304.5,-110.43625,0.0,top
VR15,189.774,-78.405,90.0,top
VR16,220.892,-101.519,0.0,top
VR17,228.5265,-101.528,0.0,top
VR18,204.497,-78.475,90.0,top
VR19,264.577,-101.265,0.0,top
VR22,284.815,-110.45125,0.0,top
VR23,274.415,-78.913,270.0,top
VR24,288.775,-78.883,270.0,top
VR25,302.99,-78.813,270.0,top
VR26,316.96,-78.813,270.0,top
