Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,CL21A106KAYNNNE,
C13,0805,1,CL21B102KBCNNNC,
"C42, C48, C51, C52, C55",0805,5,CL21B103KBANNNC,
C49,1206,1,C3216X5R1E476MTJ00E,
C50,0805,1,CL21A225KBQNNNE,
C53,0805,1,ECH-U1H102GX5,
"D1, D2, D3",D_SOD-123,3,1N4148W,
"IC1, IC4",SOT95P282X145-5N,2,AS321KTR-G1,
IC2,SOIC-14_3.9x8.7mm_P1.27mm,1,"HEF4013BT,653",
IC5,SOP-16_3.9x9.9mm_P1.27mm,1,V3340M,
J1,PinSocket_1x06_P2.54mm_Vertical,1,VCOOut,
J2,PinHeader_1x05_P2.54mm_Vertical,1,DigitalInput,
J3,PinSocket_1x03_P2.54mm_Vertical,1,EnvInput,
J4,PinSocket_1x05_P2.54mm_Vertical,1,LFO,
J6,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
Q1,SOT95P240X115-3N,1,SS8050(RANGE:200-350),
"R1, R193",0805,2,0805W8F3302T5E,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,390K,
"R101, R55",0805,2,0805W8F5102T5E,
"R102, R115, R1190, R1250, R2",0805,5,0805W8F4703T5E,
"R104, R117",0805,2,0805W8F2203T5E,
"R11, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,470K,
"R112, R114, R116, R191",0805,4,0805W8F1003T5E,
"R113, R127",0805,2,0805W8F5600T5E,
R118,0805,1,0805W8F1501T5E,
"R119, R125, R17",0805,3,0805W8F1004T5E,
R120,0805,1,0805W8F2702T5E,
R121,0805,1,0805W8F5601T5E,
"R126, R16, R214, R3",0805,4,0805W8F1002T5E,
"R38, R39, R40, R41, R42, R43, R44, R45",0805,8,0805W8F2003T5E,
"R4, R7, R8",0805,3,0805W8F4702T5E,
R5,0805,1,0805W8F1001T5E,
R6,0805,1,0805W8F6802T5E,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
"S1, S2",MS2301L6,2,MS2301L6,
S3,Cosland_RS-2688-0112-38N,1,Cosland_RS-2688-0112-38N,
VR1,RK09D117000B,1,Tune 10KB,
VR2,RK09D117000B,1,SubSquare 10KB,
"VR20, VR21",3362P_1,2,3362P-1-503LF,
VR27,3362P_1,1,3362P-1-501LF,
VR3,RK09D117000B,1,Triangle 100KB,
VR4,RK09D117000B,1,Square 10KB,
VR5,RK09D117000B,1,Mod 100KA,
VR6,RK09D117000B,1,Saw 100KB,
VR7,RK09D117000B,1,PWM Duty10KB,
