Designator,Mid X,Mid Y,Rotation,Layer
C1,164.3165,-97.917,0.0,top
C13,118.2345,-55.489,0.0,top
C42,177.565,-76.063,180.0,top
C48,137.179,-55.372,0.0,top
C49,139.192,-89.194,0.0,top
C50,138.43,-78.8295,90.0,top
C51,130.048,-79.375,270.0,top
C52,122.7836,-89.2048,0.0,top
C53,124.46,-95.163,0.0,top
C55,128.016,-95.9827,90.0,top
D1,167.619,-83.429,180.0,top
D2,180.446,-90.288,270.0,top
D3,178.922,-84.826,180.0,top
IC1,158.414,-83.671,90.0,top
IC2,169.27,-89.525,0.0,top
IC4,115.407,-78.547,0.0,top
IC5,131.064,-86.273,180.0,top
J1,169.35,-48.006,90.0,top
J2,126.08,-48.0,90.0,top
J3,98.54,-48.0,90.0,top
J4,111.08,-48.0,90.0,top
J6,152.35,-48.0,90.0,top
Q1,150.006,-83.81,0.0,top
R1,154.919,-83.921,90.0,top
R10,100.965,-121.319,0.0,top
R101,173.104,-76.063,0.0,top
R102,173.12,-78.349,180.0,top
R104,145.815,-55.372,180.0,top
R11,122.555,-121.192,0.0,top
R112,115.169,-83.124,0.0,top
R113,141.497,-55.372,180.0,top
R114,113.009,-54.489,270.0,top
R115,132.353,-55.489,180.0,top
R116,109.632,-86.868,0.0,top
R117,109.648,-91.694,180.0,top
R118,137.1375,-92.583,0.0,top
R119,133.2005,-92.583,180.0,top
R1190,133.2005,-95.163,0.0,top
R12,142.113,-121.827,0.0,top
R120,136.144,-78.867,270.0,top
R121,133.604,-78.851,270.0,top
R125,126.0,-79.883,0.0,top
R1250,126.111,-76.327,0.0,top
R126,121.936,-79.883,0.0,top
R127,128.9935,-92.583,180.0,top
R16,127.67,-55.489,0.0,top
R17,122.844,-55.489,0.0,top
R191,177.565,-78.349,180.0,top
R193,157.118,-77.079,270.0,top
R2,161.777,-83.778,90.0,top
R214,160.039,-77.095,90.0,top
R3,140.5636,-84.6328,0.0,top
R38,110.5916,-81.6864,90.0,top
R39,106.664,-83.185,180.0,top
R4,173.5328,-83.3628,180.0,top
R40,102.473,-83.185,180.0,top
R41,98.044,-83.185,180.0,top
R42,93.726,-83.185,180.0,top
R43,89.233,-83.185,180.0,top
R44,89.233,-81.026,180.0,top
R45,89.249,-78.867,180.0,top
R5,140.5128,-82.2452,0.0,top
R55,154.197,-77.095,270.0,top
R6,151.403,-79.111,90.0,top
R7,162.8648,-92.9132,270.0,top
R8,176.509,-88.128,0.0,top
R9,175.387,-121.827,0.0,top
S1,157.881,-110.629,90.0,top
S2,158.135,-65.134,90.0,top
S3,100.99039948463984,-65.5068194834338,45.0,top
VR1,123.376,-66.59655,0.0,top
VR2,175.681,-111.94825,0.0,top
VR20,102.632,-88.138,0.0,top
VR21,166.77,-76.343,0.0,top
VR27,146.069,-76.597,0.0,top
VR3,100.756,-111.83625,0.0,top
VR4,122.6,-111.58225,0.0,top
VR5,143.555,-66.33625,0.0,top
VR6,142.158,-111.70925,0.0,top
VR7,176.993,-66.20925,0.0,top
