Designator,Footprint,Quantity,Value,LCSC Part #
C49,1206,1,GRM31CR71E106KA12,1206:10uF/25V èHåé
C53,0805,1,GRM21A5C2E102FWA1,2012(0805):1000pF èHåé
"IC1, IC4",SOT95P282X145-5N,2,AS321KTR-G1,èHåé 
IC2,SOIC-14_3.9x8.7mm_P1.27mm,1,"HEF4013BT,653",É}ÉãÉc
"VR20, VR21",3362P_1,2,3362P-1-503LF,èHåé
VR27,3362P_1,1,3362P-1-501LF,èHåé
IC5,SOP-16_3.9x9.9mm_P1.27mm,1,V3340M,
J1,PinSocket_1x06_P2.54mm_Vertical,1,VCOOut,
J2,PinHeader_1x05_P2.54mm_Vertical,1,DigitalInput,
J3,PinSocket_1x03_P2.54mm_Vertical,1,EnvInput,
J4,PinSocket_1x05_P2.54mm_Vertical,1,LFO,
J6,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,390K,
"R11, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,470K,
"S1, S2",MS2301L6,2,MS2301L6,
S3,Cosland_RS-2688-0112-38N,1,Cosland_RS-2688-0112-38N,èHåé
VR1,RK09D117000B,1,Tune 10KB,
VR2,RK09D117000B,1,SubSquare 10KB,
VR3,RK09D117000B,1,Triangle 100KB,
VR4,RK09D117000B,1,Square 10KB,
VR5,RK09D117000B,1,Mod 100KA,
VR6,RK09D117000B,1,Saw 100KB,
VR7,RK09D117000B,1,PWM Duty10KB,
