Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.001uF,
"C10, C2, C3, C5, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,6,0.01uF,
C11,CP_Radial_D5.0mm_P2.50mm,1,10uF/16VBP,
C12,CP_Radial_D5.0mm_P2.50mm,1,10uF BP,
"C13, C14, C15, C16",C_Disc_D5.0mm_W2.5mm_P2.50mm,4,250pF,
"C17, C18",CP_Radial_D5.0mm_P2.50mm,2,10uF/25V,
"C19, C20",CP_Radial_D5.0mm_P2.50mm,2,1uF,
"C22, C23, C26, C27, C28, C31",C_Disc_D3.4mm_W2.1mm_P2.50mm,6,0.01uF,
"C24, C25",CP_Radial_D5.0mm_P2.50mm,2,47uF/16V,
"C29, C30",0805,2,0.1uF,
C4,CP_Radial_D5.0mm_P2.50mm,1,2.2uF/50V,
C6,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,1000pF,
C7,CP_Radial_D5.0mm_P2.50mm,1,10uF/16V,
"D1, D2, D3",D_DO-15_P2.54mm_Vertical_AnodeUp,3,D,
D4,LED_D5.0mm,1,LED,
"IC1, IC10, IC3, IC6",SOT95P282X145-5N,4,AS321KTR-E1,
IC2,SOP-16_3.9x9.9mm_P1.27mm,1,V3340M,
IC4,SOIC-14_3.9x8.7mm_P1.27mm,1,4013,
IC5,DIP-14_W7.62mm_LongPads,1,PIC16F15325-I_P,
"IC7, IC9",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP6232T-E/SN,
IC8,DIP794W56P254L2591H533Q20N,1,PIC16F13145-I_P,
J1,PinSocket_1x06_P2.54mm_Vertical,1,VCOOut,
J11,PinHeader_1x02_P2.54mm_Vertical,1,AudioOut,
J12,PinSocket_1x05_P2.54mm_Vertical,1,LFO,
J13,PinSocket_1x06_P2.54mm_Vertical,1,LFO DigitalInput,
J2,PinSocket_1x04_P2.54mm_Vertical,1,VCOIn,
J4,PinSocket_1x03_P2.54mm_Vertical,1,EnvOut,
J5,PinSocket_1x06_P2.54mm_Vertical,1,EG DigitalInput,
J7,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
J8,PinSocket_1x02_P2.54mm_Vertical,1,VCF_ResoWav,
J9,PinSocket_1x02_P2.54mm_Vertical,1,AudioIn,
"Q1, Q4, Q7",2SC3325YLF,3,2SC3325-Y,
"Q2, Q3, Q5, Q6",1SS294LFT,4,2SA1162-GR_F_,
"R1, R2, R3, R4, R5, R6, R7, R70, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9,200K,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,270K,
"R100, R101, R104, R38, R75, R76, R77, R79, R89",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9,1K,
"R102, R106, R107, R112, R19, R22, R37, R53, R54, R63, R64, R65, R69, R72, R73, R74, R78, R9, R91, R94, R95, R99",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22,10K,
"R103, R71, R80",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,5.1K,
"R105, R109, R110, R13, R14, R15, R25, R44, R45, R46, R55, R56, R68, R90, R92, R96",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,16,100K,
"R108, R34, R35, R36, R88, R93",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,6,47K,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,220K,
R111,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,2.2K,
"R113, R114, R118, R125, R128",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,5,10K,
R115,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,30K,
R116,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,20K,
"R117, R119",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,100K,
