Designator,Mid X,Mid Y,Rotation,Layer
C1,72.938,-52.959,90.0,top
C10,117.856,-68.219,270.0,top
C11,115.316,-110.891,270.0,top
C12,122.174,-110.764,270.0,top
C13,134.132,-115.697,180.0,top
C14,159.639,-118.364,180.0,top
C15,176.423,-115.57,0.0,top
C16,149.86,-116.332,0.0,top
C17,218.587,-66.802,0.0,top
C18,218.587,-73.66,0.0,top
C19,232.2009,-71.501,0.0,top
C2,47.371,-65.552,90.0,top
C20,246.5519,-75.311,0.0,top
C22,29.083,-120.458,180.0,top
C23,34.213,-108.012,0.0,top
C24,37.6741,-54.991,180.0,top
C25,26.055,-55.118,0.0,top
C26,195.931,-122.365,180.0,top
C27,226.526,-116.65,0.0,top
C28,240.73,-116.777,0.0,top
C29,193.929,-112.5645,270.0,bottom
C3,91.968,-68.199,0.0,top
C30,41.529,-111.76,0.0,bottom
C31,51.816,-120.65,270.0,top
C4,96.901,-54.1469,270.0,top
C5,99.04,-77.089,0.0,top
C6,109.327,-77.724,180.0,top
C7,103.124,-53.066,270.0,top
C8,131.104,-56.495,90.0,top
C9,109.407,-74.422,180.0,top
D1,78.007,-109.601,90.0,top
D2,106.553,-118.491,270.0,top
D3,106.553,-111.42,90.0,top
D4,31.877,-36.449,0.0,top
IC1,70.17,-60.686,270.0,top
IC10,240.157,-74.295,0.0,top
IC2,100.671,-69.088,270.0,top
IC3,72.907,-107.823,0.0,top
IC4,90.297,-110.679,180.0,top
IC5,48.387,-112.014,90.0,top
IC6,147.594,-64.196,0.0,top
IC7,31.369,-114.108,0.0,top
IC8,205.359,-112.427,90.0,top
IC9,233.618,-113.348,270.0,top
J1,118.35,-121.0,90.0,top
J11,258.27,-75.0,90.0,top
J12,37.084,-30.099,90.0,top
J13,73.35,-121.0,90.0,top
J2,70.81,-75.0,90.0,top
J4,233.553,-106.998,90.0,top
J5,213.512,-121.0,90.0,top
J7,129.35,-75.0,90.0,top
J8,178.27,-75.0,90.0,top
J9,225.27,-75.0,90.0,top
Q1,84.328,-65.61,180.0,top
Q2,183.077,-52.197,270.0,top
Q3,250.886,-45.65,180.0,top
Q4,147.727,-71.999,180.0,top
Q5,143.679,-77.461,180.0,top
Q6,253.045,-53.029,0.0,top
Q7,25.45,-35.235,180.0,top
R1,52.237,-52.607,90.0,top
R10,64.16,-61.439,270.0,top
R100,252.82,-60.846,180.0,top
R101,252.82,-64.148,180.0,top
R102,209.452,-60.96,180.0,top
R103,209.902,-64.262,0.0,top
R104,252.791,-57.544,180.0,top
R105,230.886,-77.499,90.0,top
R106,234.95,-77.47,90.0,top
R107,245.491,-51.689,180.0,top
R108,239.678,-78.74,180.0,top
R109,251.46,-75.057,90.0,top
R11,83.352,-52.734,90.0,top
R110,38.227,-35.814,90.0,top
R111,25.4,-39.37,180.0,top
R112,147.677,-68.006,0.0,top
R113,34.113,-120.458,180.0,top
R114,29.21,-108.012,180.0,top
R115,26.593,-47.117,0.0,top
R116,26.543,-50.546,0.0,top
R117,40.082,-50.673,180.0,top
R118,40.209,-43.815,180.0,top
R119,30.861,-54.56,90.0,top
R12,76.494,-53.086,270.0,top
R120,40.082,-47.117,180.0,top
R121,35.002,-43.815,180.0,top
R122,26.366,-43.942,180.0,top
R123,191.135,-119.825,0.0,top
R124,195.961,-119.825,0.0,top
R125,226.556,-113.983,0.0,top
R126,226.506,-111.443,0.0,top
R127,240.907,-111.697,0.0,top
R128,240.857,-114.11,0.0,top
R129,45.466,-120.573,270.0,top
R13,75.438,-60.579,90.0,top
R130,48.387,-120.573,270.0,top
R14,69.088,-66.802,270.0,top
R15,64.16,-66.773,270.0,top
R16,79.375,-60.452,90.0,top
R17,48.583,-60.452,180.0,top
R18,121.452,-41.246,270.0,top
R19,121.412,-35.306,270.0,top
R2,49.062,-52.607,90.0,top
R20,121.452,-46.101,90.0,top
R21,91.85,-75.438,180.0,top
R22,92.3,-71.882,0.0,top
R23,98.171,-58.928,0.0,top
R24,93.091,-60.198,270.0,top
R25,132.12,-51.562,180.0,top
R26,109.728,-64.897,0.0,top
R27,109.22,-68.072,180.0,top
R28,117.983,-73.66,90.0,top
R29,109.22,-71.247,180.0,top
R3,55.412,-52.607,90.0,top
R30,138.597,-56.134,90.0,top
R31,134.914,-56.613,270.0,top
R32,67.535,-107.95,0.0,top
R33,67.564,-111.252,0.0,top
R34,91.3794,-119.9834,0.0,top
R35,102.108,-118.136,90.0,top
R36,102.108,-112.407,270.0,top
R37,91.821,-64.389,180.0,top
R38,83.791,-70.612,0.0,top
R39,78.74,-67.056,180.0,top
R4,58.587,-52.607,90.0,top
R40,78.613,-104.119,0.0,top
R41,67.564,-104.648,0.0,top
R42,103.182,-104.928,0.0,top
R43,122.428,-104.394,180.0,top
R44,140.081,-121.891,270.0,top
R45,134.493,-104.521,0.0,top
R46,159.922,-107.95,0.0,top
R47,134.493,-110.871,0.0,top
R48,159.893,-115.189,0.0,top
R49,134.493,-107.696,0.0,top
R5,61.762,-52.607,90.0,top
R50,159.922,-111.125,0.0,top
R51,133.76,-122.047,180.0,top
R52,170.053,-122.047,270.0,top
R53,134.239,-118.872,0.0,top
R54,165.1,-121.568,90.0,top
R55,176.178,-111.252,180.0,top
R56,159.541,-104.775,180.0,top
R57,176.305,-107.823,180.0,top
R58,149.606,-107.95,180.0,top
R59,176.305,-104.648,180.0,top
R6,64.937,-52.607,90.0,top
R60,149.606,-104.775,180.0,top
R61,176.149,-118.872,180.0,top
R62,149.635,-111.252,180.0,top
R63,176.149,-122.174,180.0,top
R64,143.891,-121.862,270.0,top
R65,190.656,-51.181,180.0,top
R66,191.106,-57.658,0.0,top
R67,191.106,-54.356,0.0,top
R68,160.753,-56.261,0.0,top
R69,191.164,-60.833,0.0,top
R7,68.112,-52.607,90.0,top
R70,160.655,-53.086,0.0,top
R71,190.685,-64.262,180.0,top
R72,169.799,-59.563,0.0,top
