Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_Disc_D3.4mm_W2.1mm_P2.50mm,4,250pF,
"C5, C6",C_Disc_D3.4mm_W2.1mm_P2.50mm,2,0.01uF,
"C7, C9",CP_Radial_D5.0mm_P2.50mm,2,1uF,
C8,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,10uF BP,
"D1, D2, D3",D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,3,D,
J1,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
J2,PinSocket_2x05_P2.54mm_Vertical,1,Input,
J3,PinHeader_1x02_P2.54mm_Vertical,1,AudioOut,
"Q1, Q2, Q3, Q4",TO-92_HandSolder,4,Q_PNP_ECB,
"R1, R12, R13, R17, R18, R19, R2, R20, R32, R33, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,12,560,
"R10, R15, R21, R22, R30, R31, R36, R39, R40, R45, R48, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,12,10K,
"R11, R16, R38, R4, R49, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,6,100K,
"R14, R24, R3, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,4,68K,
"R23, R37, R42, R46",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,4,5.1K,
"R25, R26",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,56K,
"R27, R43",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,20K,
"R28, R41",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,33K,
R29,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,280K,
R34,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,72K,
R35,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,5K,
R44,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,40K,
R47,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,47K,
"U1, U2, U3",SOIC-16_3.9x9.9mm_P1.27mm,3,LM13700,
"U4, U5, U6, U7",SO-8_3.9x4.9mm_P1.27mm,4,Opamp_Dual,
VR1,3296W1502A,1,3296W-1-502A,
"VR2, VR3, VR5, VR6",RK09D117000B,4,100KB,
"VR4, VR7",RK09D117000B,2,100KA,
