Designator,Mid X,Mid Y,Rotation,Layer
C1,98.502,-68.199,0.0,top
C2,85.344,-68.707,180.0,top
C3,93.726,-90.277,270.0,top
C4,85.491,-85.09,180.0,top
C5,121.624,-75.184,0.0,top
C6,121.624,-56.261,0.0,top
C7,114.738,-74.676,180.0,top
C8,77.297,-61.595,0.0,top
C9,108.174,-85.217,180.0,top
D1,109.474,-56.261,0.0,top
D2,90.9037,-55.88,0.0,top
D3,140.808,-65.532,0.0,top
J1,149.733,-76.2,0.0,top
J2,66.27,-71.54,180.0,top
J3,149.733,-60.584,0.0,top
Q1,127.458,-49.403,180.0,top
Q2,109.601,-51.943,270.0,top
Q3,91.002,-51.689,270.0,top
Q4,140.554,-61.214,90.0,top
R1,98.502,-65.532,180.0,top
R10,85.294,-73.533,180.0,top
R11,98.552,-77.978,0.0,top
R12,98.375,-82.55,180.0,top
R13,98.375,-80.264,180.0,top
R14,98.248,-87.63,180.0,top
R15,98.298,-89.916,0.0,top
R16,85.471,-77.978,0.0,top
R17,85.521,-82.55,0.0,top
R18,85.521,-80.264,0.0,top
R19,108.632,-64.008,0.0,top
R2,98.502,-63.246,180.0,top
R20,108.632,-66.294,0.0,top
R21,108.532,-61.722,180.0,top
R22,108.647,-68.58,0.0,top
R23,108.597,-70.866,0.0,top
R24,85.521,-87.503,0.0,top
R25,95.25,-46.482,0.0,top
R26,113.08,-46.609,0.0,top
R27,68.249,-46.482,0.0,top
R28,122.251,-47.879,180.0,top
R29,122.251,-50.165,180.0,top
R3,98.425,-70.866,180.0,top
R30,85.421,-89.789,180.0,top
R31,121.636,-61.214,0.0,top
R32,121.459,-65.786,180.0,top
R33,121.536,-63.5,180.0,top
R34,121.554,-72.644,180.0,top
R35,121.604,-58.928,0.0,top
R36,121.536,-68.072,180.0,top
R37,121.536,-70.358,180.0,top
R38,108.839,-74.676,0.0,top
R39,96.647,-51.308,90.0,top
R4,98.552,-60.96,180.0,top
R40,103.124,-46.482,0.0,top
R41,77.978,-51.181,90.0,top
R42,82.381,-55.88,0.0,top
R43,83.693,-46.482,0.0,top
R44,130.317,-56.896,0.0,top
R45,127.889,-60.783,90.0,top
R46,135.728,-65.278,0.0,top
R47,109.678,-79.883,270.0,top
R48,107.265,-79.883,270.0,top
R49,108.358,-89.535,180.0,top
R5,85.294,-61.595,180.0,top
R6,98.425,-73.279,180.0,top
R7,85.344,-66.167,0.0,top
R8,85.394,-63.881,0.0,top
R9,85.344,-71.247,0.0,top
U1,91.948,-66.421,270.0,top
U2,91.886,-82.169,270.0,top
U3,114.87,-66.421,270.0,top
U4,102.235,-51.816,0.0,top
U5,83.855,-51.689,0.0,top
U6,134.204,-61.214,0.0,top
U7,115.139,-80.899,0.0,top
VR1,136.525,-50.038,90.0,top
VR2,128.225,-37.88825,0.0,top
VR3,97.581,-37.88825,0.0,top
VR4,112.858,-37.88825,0.0,top
VR5,66.847,-37.88825,0.0,top
VR6,82.214,-37.87625,0.0,top
VR7,143.555,-37.88825,0.0,top
