Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.001uF,
"C42, C51, C52, C55",C_Disc_D5.0mm_W2.5mm_P2.50mm,4,0.01uF,
C49,CP_Radial_D5.0mm_P2.50mm,1,47uF/16V,
C50,CP_Radial_D5.0mm_P2.50mm,1,2.2uF/50V,
C53,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,1000pF,
C54,C_Radial_D4.0mm_H7.0mm_P1.50mm,1,10uF/16VBP,
"D28, D31, D32",D_DO-15_P2.54mm_Vertical_AnodeUp,3,D,
IC1,DIP794W56P260L1905H432Q16N,1,V3340M,
"IC2, IC3",SOT95P282X145-5N,2,AS321KTR-E1,
IC4,DIP-14_W7.62mm_LongPads,1,4013,
J3,PinSocket_2x05_P2.54mm_Vertical,1,Output,
J4,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
J5,PinSocket_2x04_P2.54mm_Vertical,1,Input,
Q18,TO-92_HandSolder,1,Q_NPN_ECB,
"R1, R112, R114, R116, R191",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,5,100K,
R101,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,56K,
"R102, R187",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,390K,
R104,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,220K,
R115,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,560K,
R117,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,270K,
R118,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,1.69K,
"R119, R125",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,1.5M,
R120,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,28K,
R121,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,5.6K,
"R123, R189, R190",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,47K,
R124,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,68K,
"R126, R128, R214",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,10K,
R127,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,560,
R129,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,1K,
R186,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,680K,
"R188, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,1M,
"R193, R259",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,33K,
R258,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,470k,
"R38, R39, R40, R41, R42, R43, R44, R45",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,8,200K,
R55,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,50K,
S1,ASLB1470,1,ASLB1470,
"S2, S3",OS103011MS8QP1,2,OS103011MS8QP1,
"TM4, TM5",Potentiometer_Bourns_3386P_Vertical,2,50K,
TM6,Potentiometer_Bourns_3386P_Vertical,1,300,
VR10,RK09D117000B,1,SubSquare 100KB,
VR3,RK09D117000B,1,Tune 10KB,
VR4,RK09D117000B,1,Mod 100KA,
VR6,RK09D117000B,1,PWM Duty10KB,
VR8,RK09D117000B,1,Square 10KB,
VR9,RK09D117000B,1,Saw 100KB,
