Designator,Mid X,Mid Y,Rotation,Layer
C1,150.913,-77.45,90.0,top
C42,188.956,-82.296,0.0,top
C49,215.138,-81.427,270.0,top
C50,208.915,-81.427,270.0,top
C51,209.022,-100.0139,0.0,top
C52,225.278,-105.9829,180.0,top
C53,225.298,-102.9349,180.0,top
C54,216.378,-138.807,270.0,top
C55,225.318,-99.7599,0.0,top
D28,178.689,-138.637,90.0,top
D31,207.01,-135.843,90.0,top
D32,207.01,-142.914,270.0,top
IC1,217.17,-96.8389,0.0,top
IC2,178.816,-82.931,0.0,top
IC3,174.253,-139.699,0.0,top
IC4,191.008,-139.257,270.0,top
J3,221.298,-144.972,90.0,top
J4,149.0,-121.35,0.0,top
J5,151.892,-96.52,0.0,top
Q18,199.91,-99.822,90.0,top
R1,159.422,-77.695,270.0,top
R101,188.6,-88.803,180.0,top
R102,188.595,-85.598,180.0,top
R104,193.929,-76.708,0.0,top
R112,178.816,-86.995,0.0,top
R114,175.768,-104.267,180.0,top
R115,170.434,-104.267,180.0,top
R116,177.023,-99.92,270.0,top
R117,177.023,-94.586,270.0,top
R118,225.777,-89.9809,0.0,top
R119,225.806,-93.2829,0.0,top
R120,209.296,-87.5679,0.0,top
R121,209.296,-90.6159,0.0,top
R123,192.18,-146.431,180.0,top
R124,199.009,-94.488,270.0,top
R125,209.423,-103.3159,0.0,top
R126,209.423,-106.3639,0.0,top
R127,225.777,-96.4579,0.0,top
R128,208.915,-95.504,180.0,top
R129,202.819,-94.488,270.0,top
R186,169.262,-136.097,0.0,top
R187,169.262,-132.922,0.0,top
R188,219.231,-132.018,180.0,top
R189,202.565,-136.83,270.0,top
R190,202.565,-142.193,90.0,top
R191,193.167,-86.487,90.0,top
R193,215.011,-71.628,90.0,top
R2,155.485,-77.597,270.0,top
R214,215.011,-61.468,270.0,top
R258,169.262,-139.399,0.0,top
R259,169.233,-142.574,0.0,top
R38,168.148,-84.201,0.0,top
R39,168.148,-81.026,0.0,top
R40,168.148,-77.851,0.0,top
R41,168.148,-74.676,0.0,top
R42,168.148,-71.501,0.0,top
R43,168.148,-68.326,0.0,top
R44,168.148,-65.151,0.0,top
R45,168.148,-61.976,0.0,top
R55,215.011,-66.773,270.0,top
S1,178.607,-68.516,270.0,top
S2,208.153,-66.417,90.0,top
S3,206.785,-121.826,270.0,top
TM4,191.008,-96.647,0.0,top
TM5,171.45,-96.774,0.0,top
TM6,224.536,-79.9479,90.0,top
VR10,220.668,-122.90125,0.0,top
VR3,155.022,-66.97125,0.0,top
VR4,191.815,-67.47925,0.0,top
VR6,226.187,-67.38025,0.0,top
VR8,163.433,-123.04325,0.0,top
VR9,188.978,-122.90125,0.0,top
